transaction_frequency,transaction_regularity,loan_amount,monthly_income,existing_loans,repayment_history,payment_consistency,default
18,0.460475976662849,9751,1111,2,0.834590952595272,0.5922213993314405,1
13,0.8055767978751465,3593,152,2,0.35833465667167375,0.7009353650179992,1
30,0.8040255755822521,6264,507,1,0.9128924447365754,0.19427357100180143,0
6,0.7488033430197081,2772,946,2,0.5656881721410058,0.44720103221643803,1
24,0.78576391112697,4300,1145,1,0.18267238423966814,0.829821264717285,1
32,0.6799071103433173,116,1153,1,0.1395988673598001,0.654725348498443,0
11,0.4762593412348669,3291,802,0,0.5764724375577539,0.4112040672118541,0
48,0.5419871954527435,492,359,0,0.7618836118624439,0.6633625340146814,0
12,0.4271184017609979,8716,1328,0,0.7815056477421821,0.11822241207245987,0
39,0.9359153929335398,6372,1182,1,0.2757574044412813,0.4014976105648763,1
18,0.7083742563362843,671,1594,2,0.20424675891216748,0.7931285379630564,1
21,0.5805959917345479,3731,875,0,0.016756304492382412,0.220508787136648,1
40,0.6234040625508929,6272,1589,2,0.6791991512011694,0.1859615075574177,1
44,0.9630983377282707,9412,1135,0,0.07656825843353898,0.9508186599164314,0
8,0.4073459821812561,7277,1754,0,0.4207612017659258,0.2098976295862307,1
6,0.710360882411758,8533,1413,1,0.6016821640182961,0.26091857965016807,1
10,0.6541220752191261,3997,949,0,0.937108944919677,0.969615938904338,0
46,0.7280179648042535,8223,1883,0,0.31180213695576864,0.7347085702650257,0
8,0.31267712867458836,2379,453,1,0.24977216244651979,0.6995965330235282,1
33,0.9104867362609059,9080,1762,2,0.6541601542860984,0.8529263838545813,1
22,0.9524827977385286,7551,1198,0,0.6192390320535817,0.11582308223679427,0
30,0.6955932285124462,9006,972,1,0.3321097833081246,0.7059562365800072,1
48,0.7876555767138245,875,1839,0,0.9281018355097865,0.5036886093282389,0
38,0.9457495668241069,6969,1684,1,0.8448623274896327,0.8291506402841399,0
14,0.795067044019379,2347,1714,2,0.22398254586508115,0.5081417186651943,1
40,0.40677733003998295,7188,1564,2,0.23914254543452318,0.6202413542689121,1
18,0.7034018521167692,178,1090,1,0.5123003468870806,0.47774212639953595,1
35,0.7247005324679991,8180,1364,1,0.7735721017307203,0.4781589235558441,1
19,0.5968914699116702,7199,1117,1,0.04404037938846439,0.7679699780618315,1
12,0.815510964937306,4026,1984,2,0.6933351537347067,0.6285664006472832,1
18,0.9540569103383103,9147,1277,0,0.648235897382097,0.6332632016094104,0
27,0.9478979590347434,7440,1909,2,0.23148009591298824,0.4502824838315258,1
44,0.6155875599828924,7183,1219,1,0.6813530132413488,0.5311094963375276,1
25,0.3792666320885287,6330,1849,1,0.9401831912520826,0.7457176662047873,1
20,0.9893888392736341,9323,393,2,0.04678584497176852,0.8259409191119182,1
49,0.8872286605121538,5040,308,1,0.31965205529206253,0.6965614021440462,1
22,0.3872638768422868,3371,1466,2,0.43817671666635527,0.9240729888456831,1
28,0.9445893178321605,3556,1211,1,0.8992603589246896,0.8203240881472009,0
30,0.9089274534434897,7888,917,0,0.9622614466091567,0.5618637898095185,0
29,0.6631866399882504,8699,1899,0,0.44411524649633227,0.6714060726437369,0
49,0.7138928050214504,7750,489,1,0.7500284121421912,0.926308276921196,1
45,0.5793018927090912,2811,424,2,0.531661023764483,0.6191680442430584,1
33,0.3383331471754219,1768,1039,0,0.5377829347413765,0.8248069479798307,0
19,0.5346380691521306,247,988,2,0.27809951506635644,0.6888105035899871,0
49,0.861997414018608,6520,1955,1,0.21695624586387952,0.5519363610604665,1
5,0.303242416103222,465,1280,2,0.28800534592404115,0.24183819541535312,1
29,0.5334494201838009,9966,767,0,0.5563280072570793,0.4259975194684281,0
11,0.5787180855136602,4631,1774,2,0.029155186022088997,0.9677428248337157,1
13,0.676176922056546,5430,732,2,0.9072489443564058,0.6577653832726,1
28,0.9438989314889323,5610,676,1,0.15628370954977622,0.5643953803389896,1
5,0.5424421960561728,8854,1742,1,0.22008867687138656,0.9329566255282273,1
48,0.5428672413273594,9064,1782,1,0.5182761764476463,0.5865117810374487,1
12,0.8162508736768239,6593,236,0,0.7101147663372793,0.526082518417403,0
28,0.616552558622865,5539,1797,0,0.0957290547443973,0.7593108551502052,0
15,0.45722337605798735,9865,527,1,0.3176946975471622,0.7126656189865445,1
21,0.6167076612928853,6611,1575,1,0.9686746055743571,0.19316000840843273,1
12,0.3985999142658599,7604,711,0,0.2623429667809457,0.47130827457412117,1
39,0.42347089055435627,1346,1973,0,0.3130501450631469,0.47251544281958524,0
39,0.6488574409176358,3939,1010,0,0.8364984906180335,0.37822451524334477,0
37,0.5932478146531834,8651,918,0,0.05021443169045525,0.5172934821522531,1
9,0.9403921307476699,2476,240,1,0.46461316880897086,0.4131073977271442,1
46,0.5536757293816432,3109,1206,0,0.37961676445167025,0.19934548947118313,0
43,0.7064118451946304,9254,276,1,0.31658675990865115,0.41236648727468106,1
45,0.7425850015436712,1927,297,2,0.2856995940447645,0.0722769475731766,1
32,0.30916611961183355,7079,723,2,0.0913741048604092,0.5757858627744116,1
11,0.7644761604116974,9905,1691,0,0.3148258293516488,0.8536545489411119,0
13,0.424625176808826,9932,790,2,0.04305240271566857,0.7252870843545552,1
12,0.9727492222286185,8669,1544,2,0.7809638636444353,0.36039404005411124,1
16,0.40406390942717907,4385,500,2,0.39822779395801167,0.08707120557730819,1
38,0.5902368866089166,7010,1821,0,0.4439038323199116,0.20214939922527075,1
37,0.3597447676550507,8661,570,0,0.8935945864501316,0.5454903404948357,0
27,0.9978119762921631,2296,317,2,0.6580549838612207,0.20705708338303286,1
28,0.6515365072318697,3847,1028,1,0.008059103342119789,0.5439731112849675,1
41,0.7167695121240306,8943,1951,2,0.943174822961285,0.23159902476389893,1
39,0.3469535341718992,6078,1852,0,0.23714446597771122,0.8489238694760728,0
48,0.8249723292794244,5707,731,0,0.10761418475985884,0.3972714728404597,0
44,0.44693391516691,869,1050,0,0.7681281783808822,0.24555062594449106,0
26,0.9286380026084995,880,1005,2,0.5004773158667182,0.8123261802470616,1
31,0.443597748337405,6403,274,1,0.43377056601801756,0.34283896480545073,1
39,0.43348140446456657,4083,122,0,0.24950307968274177,0.11148768783878193,1
5,0.3255847674936664,9603,1848,0,0.5474714898623186,0.5704094914036416,0
39,0.6304468615769994,8814,334,2,0.27438460520258745,0.5815642044379887,1
41,0.6953887932838314,621,1136,1,0.9015830052870676,0.7146956752357342,0
18,0.34599604759984665,9227,1224,2,0.2152044797331928,0.24021943320838557,1
7,0.8428693316865075,7669,1028,0,0.8843551504557535,0.4437713390922451,0
5,0.6173021843236193,5884,1659,1,0.559405425727357,0.28236791904265623,1
9,0.667073188529306,4683,1999,1,0.828488133895241,0.08095373611568812,1
30,0.6085339228567597,6046,622,0,0.712845995860955,0.8766138270158916,0
18,0.5805341426127282,5041,1908,1,0.6966951114367486,0.7288698044883412,0
43,0.6917482319157524,6367,1575,1,0.3243458076950557,0.3014630594588007,1
31,0.40866817215149875,7228,530,2,0.23389693147220347,0.5993729928719863,1
13,0.42734969134668976,2561,892,0,0.21088622768078813,0.20126378813447243,1
19,0.903249934709462,785,1729,0,0.8571916570595887,0.8902366217957709,0
19,0.9622808234935429,2260,1836,0,0.82042682025902,0.1149063433619103,0
30,0.5613165213958271,7131,632,0,0.4405735280123073,0.0038371455078008987,1
46,0.4895212712004876,9859,1975,0,0.1324046134964546,0.5020081977391821,0
17,0.7507996802673109,5441,1078,1,0.3822522519774584,0.5831278234528693,1
36,0.5861139197686674,138,1846,2,0.6193434541369114,0.5789653202958044,0
43,0.3177704489622414,4975,1775,0,0.45440315447995283,0.05451192743782629,0
36,0.40930681815633324,1356,1416,2,0.780189268482995,0.3140438069184325,1
8,0.8011805601931783,7797,909,2,0.9976228222513854,0.4991989468413318,1
34,0.761246759337106,2296,1012,1,0.19113208844889684,0.21657918562724088,1
41,0.31896719475243845,7265,1224,0,0.45965081965957244,0.8726258854858964,0
27,0.4553805133530646,401,1625,1,0.43098390192082203,0.08710928946143404,0
43,0.46175235761164996,7627,1427,0,0.30449253274895083,0.48738444167204287,0
49,0.7703249205191098,6481,970,1,0.19809551672028958,0.691416057513152,1
19,0.3137973764280549,746,639,2,0.06569211648965922,0.26175110013448244,1
47,0.3728760073892017,8889,1123,0,0.8871193172236984,0.6242407369975181,0
33,0.8599412597612326,8953,1676,2,0.4198486976863176,0.8293851501423746,1
40,0.4249812634380335,4430,1478,2,0.49689551850004887,0.19033697509504754,1
17,0.7569222754963123,9660,1426,1,0.9169420482009158,0.9172205918248628,1
36,0.46672794673270857,7103,1619,0,0.7762904775159478,0.553558532662358,0
11,0.3696089749315416,3637,1781,2,0.1305012641171842,0.29923200430106056,1
26,0.4702205336996178,4658,1891,1,0.5654199676077424,0.43085827538227073,1
32,0.8055868522989613,6679,326,0,0.4422522765195591,0.31219188378638796,0
6,0.8989875276743999,8574,1359,0,0.7972110725787628,0.7251111599333161,0
46,0.881153905196894,9778,972,2,0.7242325476119492,0.7963006634151322,1
49,0.5780284707329184,4182,991,0,0.690405721911072,0.832937392318661,0
10,0.7676595955994523,4283,1578,2,0.3405448354798969,0.9857682495857412,1
32,0.44348900679107467,8752,1136,0,0.8049637303992545,0.7912842924966835,0
32,0.5052034111827093,3854,309,1,0.05239129559486122,0.6013840706885634,1
48,0.9274350729647838,1824,840,2,0.15962490143216723,0.3392202983917838,1
48,0.3091013464575152,1476,496,2,0.3356232729779117,0.5445954487107494,1
24,0.35985597159812766,8806,1223,0,0.07680744106928128,0.04106817279040542,1
34,0.4455203786022191,8994,130,0,0.2349942775346916,0.7448250755299131,0
15,0.3185725427116738,1753,997,2,0.8301509829979181,0.4459555450921018,1
32,0.4270048045628581,2166,1651,0,0.9482515377900793,0.02002322973218762,0
29,0.7081290926787844,122,748,1,0.3046023557741905,0.06250694151041081,0
43,0.5949971854147486,2560,428,0,0.2645158039888382,0.38746646382175665,1
37,0.9248701977538822,6026,1289,1,0.2798926522464269,0.5834215190184351,1
5,0.8722104932169086,6351,1582,1,0.27771908735084383,0.4642039489521267,1
31,0.5392721461885132,9596,1945,1,0.03593018218597299,0.6192043172921549,1
17,0.4815964034019047,7395,1051,1,0.9269163463311081,0.4802942587913558,1
45,0.5657846857170867,3400,1223,1,0.2136981415703284,0.6617038454813468,1
7,0.7132064597603653,6379,720,0,0.42000407408140494,0.21912606467080087,0
43,0.48764454857601336,8653,1978,1,0.00968688274096774,0.11284318718362141,1
10,0.7369042354943938,7453,1296,0,0.8579550909150572,0.59643395462566,0
12,0.5865881565338682,3827,1872,1,0.7311573444549172,0.48468951693630746,1
31,0.686433026596386,6372,261,2,0.9467560351737032,0.026867654044935296,1
13,0.6052885703947217,6095,1851,1,0.7816154791963991,0.38048188549303585,1
41,0.5061260316793423,9576,875,2,0.31370651205206523,0.10612558549099549,1
37,0.9639173148735096,614,1386,1,0.24787335872842364,0.5313568317526952,0
46,0.8345240559118325,548,1927,1,0.697716307553293,0.39577767966043076,0
48,0.39807922303651677,6119,373,1,0.36411277501049943,0.6131519111030179,1
28,0.9079275831285389,5443,1126,2,0.5662150157526166,0.8056022187702383,1
19,0.6412018387746595,8133,1151,2,0.006257471026470229,0.2996686838414908,1
36,0.926186558825864,2620,425,1,0.06188570168047525,0.9621021041650275,1
36,0.8598986791631207,3181,1039,0,0.5353679411816512,0.5356345005875744,0
28,0.5976494531284634,1528,1272,1,0.5660716464481651,0.618290798754788,0
45,0.3157285158240822,4067,639,2,0.7514529444593436,0.680672373225737,1
16,0.4880741515694622,6545,587,1,0.13196531962396174,0.6667315298575898,1
43,0.6791439502626069,9214,921,2,0.5131830837567788,0.5109707430450621,1
6,0.743434753878303,2259,1561,2,0.1944476444316886,0.4287642911146835,1
7,0.4805213798032416,5232,1188,2,0.09319611956269469,0.053781964177377906,1
41,0.3975492518509769,2647,455,1,0.4104957940605546,0.02208584530117974,1
21,0.8844511657595093,3079,1656,2,0.16333664808905723,0.35796119453276465,1
6,0.9890815264924864,2749,1375,2,0.2217819781923186,0.33366089063369264,1
6,0.6679831276118801,8605,334,1,0.31755457986950175,0.38769515483900674,1
32,0.42017550009381244,3183,326,2,0.25938840074319625,0.13836820088819002,1
27,0.49061512856355827,1137,1648,1,0.0875912974059464,0.7381682705368436,0
41,0.3128734735832267,3589,1436,2,0.08991624485970229,0.856964414776239,1
36,0.9400091645923492,7704,148,0,0.19324941523416816,0.938714635374035,0
37,0.38242575802309875,7644,217,0,0.050559187959538954,0.49236230351962584,1
5,0.7035615328599775,2734,153,2,0.6264570196769271,0.7008656991254286,1
23,0.4918386544810442,4083,1773,0,0.28732671650890196,0.8555511234358725,0
6,0.6879246017610554,1878,664,1,0.279745967769071,0.41829111109348593,1
48,0.7559942718463049,8002,1167,0,0.33199829423776517,0.3094127948704444,0
30,0.8808192625950411,5210,1938,2,0.6627962742097216,0.9367245558534901,1
36,0.4444948902324222,5289,152,2,0.8706338814834905,0.5156765510770731,1
10,0.3076970800609363,7478,1709,1,0.7590869325556384,0.497253886590878,1
36,0.3958199410481651,1224,657,2,0.727529230225095,0.17841609656349577,1
8,0.9300130492936736,797,1648,1,0.48439118560084926,0.10815501457335674,0
15,0.9117230542937607,2279,1800,0,0.6938055569674118,0.8421068624835116,0
21,0.7181891715192158,9696,1225,0,0.5527623680335831,0.6141331761875181,1
42,0.7203618023035574,5351,1915,1,0.2162505281865289,0.3258245840194487,1
28,0.7655256721823788,9335,1893,1,0.20858836774105072,0.19173621739026647,1
9,0.4227598950364147,2029,1972,2,0.29639200687528344,0.5554972801696314,1
38,0.9400883621474718,1113,967,0,0.9108026709698133,0.5839192892611353,0
10,0.5931393674244512,326,497,1,0.5474148403797259,0.20699360124505817,0
26,0.5681969697746482,7421,1261,0,0.7339053770018694,0.8514057478914739,0
15,0.6632423936979863,1928,774,1,0.3465587598165476,0.08426436615585109,1
20,0.3328761767425385,8009,486,0,0.40771577066522524,0.3560930851664217,0
37,0.4163983581292556,5688,210,2,0.12556557863725137,0.6803844137625221,1
13,0.8166235314984593,2123,713,0,0.17129495782167037,0.2741203638192007,1
10,0.3579590675475885,5066,116,0,0.8273565548261456,0.8276751947812718,0
20,0.7222064766264717,5991,1903,0,0.5848386316888821,0.7398678266004035,0
33,0.47174437677692466,1180,1305,0,0.3375324658838189,0.7890228445481342,0
7,0.5725069298293836,5136,983,0,0.802851208995546,0.11910653587671627,0
24,0.50208561573949,2663,1659,2,0.24651990563798298,0.14054712799554292,1
40,0.5489709015254643,3392,640,1,0.9760326986002038,0.2864737377445836,0
23,0.8033321336289718,3686,270,0,0.34481760774616976,0.5180771651975611,0
30,0.5079852009362225,4531,508,2,0.3373109541512276,0.7480160766994024,1
7,0.696483248207828,6941,839,0,0.3119119055367052,0.8365308907609035,0
23,0.6332352815393698,6743,1501,0,0.12211151592428793,0.7043353159571805,0
24,0.7645698157538536,4059,1311,1,0.11113714733201241,0.9285968815306384,1
36,0.9557808175273306,261,957,0,0.6481050345341234,0.7387435096159303,0
11,0.8128004680471752,693,329,2,0.875118044558047,0.3062678870046147,1
45,0.4504582650135297,3490,1956,2,0.7905205102716735,0.2650812843385726,1
37,0.32182819454289924,6097,1975,1,0.1411075940213511,0.6961924503010899,1
44,0.48358483100987754,6454,218,0,0.5455821217920664,0.19287056868961427,0
43,0.7165545514901783,763,1279,2,0.10559154597664,0.09271481081026989,1
22,0.33599806943897526,9424,883,0,0.045294643613077445,0.5322228748561939,1
44,0.6474563730408653,641,1810,0,0.6563858593847672,0.8216415697789553,0
5,0.7177899942418224,5533,564,0,0.5351523336803503,0.10137984246986353,1
15,0.5339707235718726,5193,203,1,0.08202368521147085,0.7918913237957292,1
32,0.8396385426220754,967,1727,0,0.034939246405988444,0.8115720043515481,0
29,0.37461877719364023,8723,797,2,0.9897564134093346,0.48227400008154353,1
27,0.3525964472150661,5569,1918,0,0.030021332149071878,0.05731031001048681,1
35,0.8097321293425224,6356,1625,2,0.44452825305015964,0.1745898512471864,1
34,0.6468439213443389,9498,1816,0,0.5046190246076956,0.7074262751619323,0
46,0.7818816774994152,1269,1805,2,0.11728014780044504,0.7117779449909495,0
39,0.6043791370226224,930,1822,2,0.16906177843971626,0.8983552751676653,1
11,0.47248142326737474,1751,274,0,0.3518050064103525,0.5826861465545828,1
20,0.8733716223719397,1236,1857,0,0.7616758762136626,0.1241073677137774,0
30,0.8595911152782854,2910,844,2,0.5070824240602667,0.12141490550497214,1
6,0.7862875295980987,8767,1797,1,0.6379018745529615,0.7211323573568237,1
5,0.4905015960609739,9618,1544,0,0.9851745550906748,0.18378466510790115,0
16,0.713161466808361,1119,1257,1,0.7680054353132096,0.32838549961660535,0
9,0.5526817278580187,5337,1514,0,0.4343614981412177,0.4872120069219139,0
41,0.36410745132864386,1383,1859,0,0.44644192179654874,0.0247648775761512,0
36,0.9421195028235698,759,1624,0,0.618772077041005,0.24881902701993186,0
13,0.395773041643273,2110,764,0,0.6653652084189043,0.40788960850728007,0
45,0.9651661476745617,8690,132,1,0.5007109258366713,0.27963631849320625,1
39,0.6122040410705689,1833,154,0,0.6448612228149799,0.13637032746756583,0
23,0.42959305018703375,2225,618,2,0.02353249441409877,0.7280122577961974,1
20,0.6793306631648507,2271,855,2,0.4296228638968441,0.8131476551679849,1
7,0.9110620851134859,8366,1948,1,0.27893807607347676,0.25747897614372484,1
24,0.8125574204866928,3571,1761,0,0.1291744452431104,0.7744194946063033,0
28,0.8645928035030148,9128,111,2,0.09954651280877513,0.38555356440131383,1
37,0.7611483566975021,5724,1651,1,0.6031921656146675,0.5066857908540028,1
28,0.7845935951624967,8791,819,0,0.5236005471526117,0.8560010748931528,0
15,0.8944369560957235,8429,654,2,0.2535841169963692,0.7499536818024078,1
12,0.4747676062014301,2197,472,2,0.4709500587725145,0.8051168513161777,1
40,0.6425974745501983,5168,583,1,0.4922323151824083,0.13684516658635681,1
42,0.45484660927372156,6497,1072,0,0.1950089804386158,0.06971942583372948,1
44,0.9913676055976528,2857,1770,0,0.6520930618816506,0.8934047290879871,0
24,0.9608415377806292,4020,1351,2,0.7809193563860904,0.38783426957109435,1
39,0.3275987679579541,8286,722,2,0.791463540889519,0.28787967806968084,1
29,0.7939026207609818,2000,406,2,0.6024698307034551,0.7246962542618245,1
39,0.947673822190966,2710,556,0,0.5116385825190141,0.8364155965798566,0
29,0.4264027415891335,7000,259,1,0.06100714300539489,0.8624896218983009,1
33,0.6975616613868406,1549,430,1,0.28783129885160585,0.31599714112522737,1
22,0.9408418083116292,8838,875,0,0.0932714467781699,0.852212391201674,0
22,0.32376218501005916,5117,324,1,0.9638231608784736,0.04093394437434539,1
6,0.7881941870727879,8099,1082,2,0.1350801462257607,0.049661491459718876,1
39,0.5081443051607855,6152,828,1,0.15177540985110205,0.6235191951741544,1
20,0.9470773367635712,2196,1627,1,0.8895766183304922,0.06310636911554623,1
45,0.9797407716157573,8995,1579,1,0.9439282834764579,0.3246091685101615,0
40,0.9609865423794037,6504,1168,2,0.7658290392349099,0.672755986246924,1
37,0.6319499516602246,9917,1337,0,0.00540492367266987,0.33726689605422633,0
8,0.9034298556925193,3431,1182,2,0.0013462709565636999,0.17959978144009592,1
37,0.8911845789745492,7562,743,0,0.3781007697874508,0.28135062185384163,0
18,0.5233703312702789,5205,715,0,0.14339537001089253,0.4575753322504318,1
25,0.8802408319054742,3078,294,0,0.018386142151597284,0.4753858553554824,1
24,0.32590534430084483,2939,588,1,0.4640666894045047,0.783000231347202,1
12,0.7173889149374371,3484,256,1,0.9430618974069715,0.7501532294315125,0
11,0.4610061861013921,785,709,0,0.3238195749024314,0.4568178045561352,0
7,0.38439682004409514,7631,1349,0,0.6611406784286965,0.8456673490987714,0
21,0.3538672411404464,4383,511,1,0.6522353531324407,0.11423713859139584,0
37,0.7874021431146978,7836,1328,2,0.25108010366516775,0.2553533502289015,1
16,0.5379124746376462,7810,1202,0,0.6504252488238643,0.8279764635022515,0
26,0.807336740070133,1719,1247,2,0.21233397428689127,0.3779940386261531,1
26,0.34574943855925966,6968,570,1,0.12200741357688905,0.9811815587938422,0
34,0.5207032364814272,1531,1341,0,0.7013832855596901,0.4662532815278354,0
42,0.677643904662736,9167,615,2,0.11344081710391674,0.7919356229637641,1
42,0.8535062153872743,4813,1725,2,0.9969092185893553,0.40230704138237194,1
49,0.523126752052449,9657,1227,2,0.18345240115022932,0.4249535190624304,1
12,0.7381239635059063,9535,492,1,0.5941418627564575,0.3828831472841835,1
31,0.9201844237653309,5098,730,1,0.4113745714125894,0.7190756205108118,1
31,0.7311042317276132,262,1768,2,0.1263864224056671,0.5475178840599945,1
38,0.4630716323275436,2074,1947,2,0.027843907577413396,0.9437781113683691,1
25,0.3170805470895766,3391,707,1,0.6227322822928333,0.25089031653410476,1
34,0.9090692117306509,8561,1079,2,0.8067575637891261,0.10056273208344435,1
37,0.314888587595271,731,533,2,0.842015661506744,0.3932614850992152,1
32,0.9122911708789396,1005,1454,1,0.48271347307693446,0.616712707646776,0
37,0.6702559938190484,2114,1266,2,0.7774554671823856,0.860798936915495,1
9,0.9573473889590274,9933,1923,2,0.6728471334885447,0.34619688668032766,1
23,0.8591482650415658,7996,639,2,0.7242545274991332,0.6537867511244616,1
8,0.9985538773733362,304,377,1,0.4925990052218141,0.35019868102321905,0
39,0.5454982708161971,681,332,2,0.6334117402421271,0.6172195829944581,1
21,0.8370318022517889,5775,1652,1,0.805525913576057,0.8848079470306509,0
48,0.5813516395264695,9132,1694,1,0.39788417555702305,0.23135764225940902,1
32,0.6359129342127361,5447,1213,0,0.8059789008675837,0.40424164210703917,0
34,0.739253824252859,2743,1615,0,0.5920168427890629,0.9932651964297465,0
33,0.911573979930437,8117,1322,2,0.16590102437078624,0.8685570282494608,1
10,0.9888584284395066,2397,461,1,0.024684157224584613,0.564639857896202,1
39,0.8377913897051628,974,1564,0,0.36275360039915205,0.5166275918542753,0
45,0.5924367475171336,5660,125,2,0.5466963282963399,0.284600382304681,1
41,0.5949499015939491,789,1148,0,0.8398203522034884,0.5172094276935294,0
28,0.816307611112224,4100,1517,0,0.1274856801402462,0.8481814982799472,0
33,0.4671440020378116,9714,606,1,0.8002063476835791,0.6851745132777806,0
35,0.37733187919197625,771,1424,1,0.863009046067227,0.2900440281779866,0
39,0.5482355103485436,8027,1462,0,0.1506874870008338,0.20146392105353295,0
37,0.5010672941578572,1271,366,0,0.851594319304219,0.2652085369968291,1
25,0.507415684319193,5691,560,1,0.991453567842792,0.16975920139282652,1
36,0.46352542573493694,9235,1816,2,0.7268388310482375,0.09564069602371594,1
27,0.3294652327454533,6442,555,1,0.784769681824988,0.419136174442055,1
37,0.3125117543133897,1549,1483,0,0.9944152675588734,0.1132996043982677,0
7,0.9914056728152221,2639,1191,2,0.6054812505259454,0.17191255772710434,1
22,0.5994411936151036,4059,1106,0,0.3078863820162494,0.5473246843394861,0
29,0.5690286530117772,6385,962,2,0.8375308340760557,0.16459927369957472,1
46,0.7757530978851488,5532,1535,0,0.6144857775116312,0.06387976743090285,0
35,0.4527777215055449,4360,590,2,0.5811954237209566,0.3173888500278852,1
7,0.9649728287651578,2461,1956,2,0.25363555551403827,0.22031909862196752,1
44,0.8504415100908864,6264,1172,0,0.7563342695828866,0.5153051879943767,0
28,0.36258770161858167,3770,1810,2,0.08166727586009626,0.10236708458320931,1
36,0.5923065430494499,1853,663,1,0.9242870707946612,0.7517707876829781,0
26,0.9153828152935153,8200,1225,0,0.32582346077048474,0.9062335194351386,0
27,0.9613124156039872,2038,315,1,0.12777465278999045,0.7434351739561944,1
6,0.6271810578749089,8662,1561,0,0.4423665331024188,0.5328270374013943,0
31,0.7293879724474954,6076,1823,2,0.042469909256533156,0.8606678217888851,1
46,0.41692376226445266,6688,1692,2,0.6846261942649663,0.6949183797815075,1
6,0.9938180382958834,8716,658,2,0.9027055104453562,0.010551122450189854,1
30,0.4621701909684104,6404,258,0,0.8372630071385088,0.3940901527745031,0
21,0.959912241894588,7445,588,1,0.12736947344788108,0.8509518994068,1
44,0.7547526542946579,7975,785,1,0.12627113710773186,0.3458588579752693,1
37,0.7254157564152013,9186,1365,0,0.8134344823242641,0.0352151735255235,0
13,0.658881957711556,6733,893,0,0.9242542746031159,0.7461796385522723,0
47,0.46146886820243105,697,1876,1,0.46066982983348914,0.8020382702828686,0
